voltage,ax,ay,az,gx,gy,gz

3.069580,0.056641,0.201050,0.801758,29.174805,-1.525879,10.253906
7.335571,0.023071,0.299072,0.973267,-46.081543,-5.493164,12.451172
6.691040,0.031982,0.241211,1.096313,-66.467285,-13.732910,14.465332
7.800439,0.137207,0.144775,1.191406,-27.099609,-18.737793,13.549805
7.404053,0.165283,0.066650,1.099243,-9.216309,-21.850586,7.934570
8.378101,0.107910,0.068115,0.981812,-32.226562,-25.207520,0.427246
10.051465,-0.024902,0.019653,0.966309,-81.909180,-23.254395,-8.300781
10.388232,-0.077637,-0.151978,0.964844,-98.388672,-14.770508,-19.042969
10.387427,0.094971,-0.221558,0.934692,-63.476562,-0.732422,-34.362793
10.846655,0.146118,-0.239746,0.900269,-23.132324,8.850098,-40.954590
11.433984,0.304321,-0.158081,0.865356,18.920898,12.390137,-44.311523
12.062402,0.340942,-0.117188,0.827026,44.494629,14.587402,-45.471191
11.967334,0.361816,-0.080444,0.743530,46.997070,16.845703,-38.635254
13.901733,0.398193,-0.035889,0.898926,57.678223,12.817383,-23.315430
14.804883,0.306885,-0.078125,1.010376,58.837891,11.108398,-11.169434
15.160181,0.247559,-0.031372,1.172241,34.484863,7.751465,-8.972168
7.156714,0.422241,0.226318,1.168335,-27.221680,6.530762,-23.986816
-9.058081,0.350586,0.136230,1.059692,-123.229980,15.808105,-12.207031
-27.834082,0.174927,-0.425903,0.888794,-8.789062,17.333984,-1.647949
-38.551025,0.249634,0.014160,0.680786,71.411133,5.249023,-15.136719
-43.931250,0.159058,0.001953,0.847656,-44.738770,-7.263184,-11.474609
-47.556738,0.135132,-0.078857,0.950073,9.704590,-13.549805,-11.474609
-51.871069,0.264893,0.082886,0.877441,-30.822754,-16.723633,-13.610840
-51.251514,0.179077,-0.125122,0.953979,-23.620605,-9.582520,-17.517090
-50.544141,0.213745,-0.118408,0.952881,26.184082,-7.873535,-6.591797
-46.986328,0.177612,-0.056152,0.898315,78.979492,-9.704590,-2.807617
-59.410474,0.258057,-0.027466,1.205933,11.108398,-19.836426,-6.713867
-57.475269,0.286377,0.190674,1.225708,28.015137,-14.038086,2.319336
-54.296118,0.157471,0.136719,1.164795,25.207520,-8.544922,18.066406
-58.083545,0.158203,0.074463,1.119263,16.967773,-8.789062,26.062012
-67.924731,0.371338,0.043701,1.137329,-19.287109,-10.498047,28.198242
-69.538477,0.532104,0.064575,1.142944,-1.892090,-4.089355,24.841309
-65.597168,0.467285,0.135254,1.181030,3.540039,0.854492,20.874023
-60.486035,0.414307,0.155151,1.130371,12.268066,5.249023,20.996094
-58.315576,0.372437,0.139893,1.074951,-4.577637,13.122559,20.080566
-62.768481,0.373291,0.053589,1.127075,-16.418457,23.681641,16.052246
-64.423315,0.287964,0.005493,1.126709,25.939941,37.536621,10.986328
-53.854614,0.203491,0.140991,0.994995,24.169922,46.264648,5.126953
-44.170532,-0.065063,0.082764,0.782715,-47.241211,38.635254,10.253906
-39.799805,0.076172,-0.068848,0.899414,-42.297363,38.330078,14.831543
-35.010937,0.135620,-0.081055,0.829956,34.973145,31.372070,18.554688
-26.107544,-0.013794,0.024902,0.669434,47.668457,24.902344,16.723633
-15.994043,-0.201782,0.095825,0.405762,8.544922,13.854980,9.582520
-20.389746,-0.248535,0.193726,0.517700,-83.923340,-9.765625,7.263184
-30.058521,0.134155,0.036499,0.870117,-169.250488,-45.043945,8.911133
-40.644141,0.450073,-0.345093,0.939941,-49.438477,-48.889160,4.333496
-45.499072,0.456299,-0.181763,0.689575,118.469238,-56.701660,15.197754
