gram,ax,ay,az,gx,gy,gz
gz

-0.044795,0.016724,-0.072144,1.005127,1.098633,0.366211,0.854492
-0.168071,-0.015381,-0.146484,0.999146,-4.638672,-1.647949,1.586914
-0.170437,0.004272,-0.074951,0.993164,-1.586914,0.244141,0.610352
-0.094000,0.001465,-0.073364,1.000244,-0.549316,0.000000,0.671387
-0.029600,0.004517,-0.077271,1.004517,-0.122070,15.563965,0.793457
0.003117,0.011597,-0.092896,0.987915,-1.159668,0.061035,0.854492
-0.112895,0.002197,-0.073730,1.003418,-0.244141,0.000000,0.610352
0.173294,0.001099,-0.074097,1.004150,-0.122070,0.183105,0.610352
0.056741,0.000977,-0.077148,1.004272,-0.305176,0.122070,0.671387
-0.140253,0.002930,-0.075317,1.000732,-0.305176,0.183105,0.732422
-0.109854,0.003540,-0.076050,1.001831,-0.061035,0.183105,0.671387
-0.139871,0.002075,-0.074951,1.004028,-0.305176,0.061035,0.732422
-0.150422,0.002930,-0.079102,1.000366,-0.122070,0.122070,0.671387
-0.024421,0.002686,-0.077026,1.003906,-0.183105,0.183105,0.671387
0.032400,0.002930,-0.074707,1.001953,0.000000,0.122070,0.610352
-0.111632,0.010010,-0.069336,1.001587,-0.305176,0.000000,0.610352
-0.154963,-0.006958,-0.052246,0.997681,2.746582,0.122070,0.610352
-0.212295,0.005249,-0.073975,1.004150,-0.610352,0.122070,0.732422
-0.036697,0.005859,-0.075195,1.001831,-0.183105,0.122070,0.549316
-0.123531,0.002319,-0.076050,1.002930,-0.061035,0.122070,0.671387
-0.130151,0.001709,-0.075928,1.002930,-0.183105,0.122070,0.671387
-0.280839,0.003052,-0.076416,1.003052,-0.244141,0.183105,0.671387
-0.059886,0.003784,-0.076782,1.002686,-0.305176,0.122070,0.549316
-0.062197,0.004761,-0.074951,1.003418,0.488281,0.183105,0.610352
-0.187966,-0.001831,-0.071777,1.003662,0.976562,0.061035,0.732422
-0.187061,0.003174,-0.076904,1.000122,-1.220703,0.061035,0.671387
-0.009089,0.003052,-0.077148,1.005005,0.549316,0.122070,0.732422
0.044778,0.003174,-0.072876,1.001343,-0.427246,0.183105,0.610352
-0.203601,0.000732,-0.093384,1.003052,0.305176,0.244141,0.732422
-0.008892,-0.005127,-0.077759,1.002319,-0.793457,0.000000,0.549316
0.000753,0.000366,-0.074951,1.002808,0.732422,0.000000,0.671387
-0.131614,0.002563,-0.072632,1.002197,-0.061035,0.061035,0.610352
0.021555,0.004517,-0.074585,1.001831,-0.549316,0.122070,0.732422
-0.122825,0.002075,-0.075317,0.999878,-0.427246,0.183105,0.732422
-0.168938,0.003784,-0.074219,1.002075,-0.488281,0.061035,0.671387
0.021200,0.003174,-0.071411,0.998169,-0.183105,0.122070,0.671387
0.086574,0.005127,-0.079590,0.996338,0.122070,0.305176,0.732422
-0.031941,0.002808,-0.072510,0.999512,-0.061035,0.183105,0.610352
-3.713301,0.002075,-0.070801,0.997559,-0.671387,0.122070,0.976562
1.146551,0.009644,-0.075073,0.981201,-1.220703,-0.427246,0.488281
1.167592,-0.000854,-0.075684,1.001831,-0.671387,0.061035,0.793457
0.402442,0.003052,-0.076660,1.000610,-1.831055,0.732422,0.732422
0.941117,0.004272,-0.088013,1.002808,-0.183105,0.427246,0.549316
4.442038,0.006958,-0.070679,1.005859,2.136230,-0.061035,0.610352
-0.058822,-0.002808,-0.077148,1.001099,-0.610352,0.000000,0.793457
1.136809,0.001099,-0.082031,1.005249,-0.671387,0.183105,0.671387
-1.698468,0.003296,-0.072510,1.002930,0.671387,0.183105,0.732422
1.704019,0.000610,-0.074463,1.004639,-0.610352,0.061035,0.732422
4.750815,0.018433,-0.082520,0.998535,-0.976562,0.244141,0.488281
5.459459,0.003662,-0.064087,1.000854,-1.281738,0.244141,0.854492
2.664633,0.002319,-0.078491,1.002930,0.183105,0.183105,0.732422
5.324567,0.000244,-0.076538,1.004150,0.244141,0.244141,0.610352
3.255098,0.001343,-0.073975,1.003296,0.000000,0.122070,0.671387
3.020556,0.004639,-0.076660,1.000366,-0.183105,0.122070,0.793457
2.640227,0.002441,-0.075562,1.003418,-0.244141,0.061035,0.671387
3.780250,0.004639,-0.074707,1.002197,-0.732422,0.122070,0.610352
1.915991,0.001709,-0.072754,1.000610,-0.061035,0.122070,0.671387
2.539024,-0.000366,-0.072754,1.004639,0.122070,0.061035,0.671387
1.370522,0.000366,-0.074341,1.002319,0.366211,0.122070,0.671387
3.838484,0.003174,-0.075073,1.001953,-0.427246,0.122070,0.671387
1.976137,0.001953,-0.076172,1.003784,-0.183105,0.061035,0.732422
1.457429,0.001831,-0.072266,1.004028,-0.183105,0.061035,0.732422
6.956065,0.001343,-0.074951,1.002075,-0.244141,0.183105,0.732422
6.581784,0.002808,-0.073608,1.006348,-0.427246,0.061035,0.854492
4.623484,0.002075,-0.074463,1.006714,-0.549316,0.122070,0.732422
2.453293,0.002197,-0.075562,1.003540,-0.061035,0.122070,0.671387
3.856158,0.001221,-0.073486,1.005981,-0.122070,0.183105,0.732422
2.370044,0.001099,-0.076172,1.004395,-0.122070,0.183105,0.549316
1.254826,0.004639,-0.073730,1.001709,0.000000,0.183105,0.671387
3.027673,0.002197,-0.075562,1.003418,-0.183105,0.122070,0.610352
1.727321,0.000732,-0.074097,1.002808,-0.366211,0.000000,0.671387
16.430611,-0.131592,-0.084473,0.970459,-3.540039,0.854492,1.708984
62.670933,0.060547,-0.116089,1.007935,1.098633,0.061035,-4.638672
237.422433,0.058472,-0.157349,1.023438,10.437012,-1.098633,-0.854492
1307.802861,0.000244,-0.082886,0.987915,15.930176,0.122070,0.854492
1391.473930,0.007202,-0.062134,1.000122,-0.061035,0.183105,0.732422
1395.750416,0.007690,-0.069336,1.004517,-0.610352,0.000000,0.732422
2.249423,0.011719,-0.060669,0.999146,0.915527,0.061035,0.488281
3.955649,-0.019043,-0.054810,0.918701,3.356934,-3.662109,0.366211
427.230809,0.009033,-0.075684,0.994629,-1.831055,0.183105,0.610352
